"","longitude","latitude","eventDate"
"214",-121.735265,37.293748,2022-09-27
"215",-122.692421,38.391684,2022-09-30
"216",-121.951744,37.909025,2022-09-29
"217",-121.602071,37.29532,2022-09-27
"218",-121.646993,37.293364,2022-09-27
"219",-121.084409,36.570915,2022-09-19
"220",-122.187635,37.992747,2022-10-05
"221",-122.136685,37.932126,2022-10-05
"222",-115.665328,30.841135,2022-10-09
"223",-115.794667,30.992022,2022-10-07
"224",-115.623049,30.851951,2022-10-07
"225",-122.496567,37.829057,2022-10-11
"226",-122.528716,37.96082,2022-10-11
"227",-122.1673,37.293415,2022-10-18
"228",-122.429661,37.867801,2022-10-18
"229",-122.491173,37.876365,2022-10-31
"230",-122.289193,37.748659,2022-10-14
"231",-120.332212,34.505318,2022-10-25
"232",-120.716215,35.071049,2022-11-03
"233",-122.630538,38.326854,2022-11-06
"234",-122.708952,38.2969,2022-11-06
"235",-122.665156,38.359252,2022-11-06
"236",-122.711201,38.251251,2022-11-06
"237",-122.721461,38.292359,2022-11-07
"238",-122.760191,38.387507,2022-11-07
"239",-122.676615,38.291824,2022-11-08
"240",-115.737907,30.809014,2022-11-09
"241",-122.793779,38.263667,2022-11-09
"242",-121.094596,36.430709,2022-11-09
"243",-122.667675,38.210854,2022-11-17
"244",-122.647881,38.346928,2022-11-22
"245",-115.623305,30.839219,2022-11-21
"246",-122.761737,38.001984,2022-11-20
"247",-122.761324,38.30131,2022-12-03
"248",-122.646924,38.318795,2022-12-03
"249",-122.790589,38.246304,2022-12-03
"250",-122.741616,38.374314,2022-12-03
"251",-122.664974,38.306945,2022-12-03
"252",-122.734914,38.261826,2022-12-03
"253",-122.778917,38.363316,2022-12-03
"254",-122.683227,38.2725,2022-12-03
"255",-122.716019,38.398435,2022-12-03
"256",-122.778082,38.3146,2022-12-03
"257",-122.646612,38.343537,2022-12-04
"258",-122.685416,38.287132,2022-12-04
"259",-122.722303,38.232421,2022-12-03
"260",-122.682169,38.270675,2022-12-04
"261",-122.75106,38.30641,2022-12-04
"262",-122.697212,38.24498,2022-12-04
"263",-122.674067,38.259754,2022-12-04
"264",-122.773575,38.281353,2022-12-05
"265",-122.710724,38.364401,2022-12-08
"266",-122.737119,38.265952,2022-12-08
"267",-122.69509,38.300099,2022-12-04
"268",-122.748264,38.304273,2022-12-05
"269",-122.603911,38.262556,2022-12-03
"270",-122.691214,38.390795,2022-12-10
"271",-122.697003,38.303514,2022-12-04
"272",-122.679954,38.239092,2022-12-11
"273",-122.767139,38.278888,2022-12-11
"274",-121.538105,37.683136,2022-12-10
"275",-122.459127,37.780321,2022-12-17
"276",-120.057883,34.503144,2022-12-18
"277",-122.61299,38.274612,2022-12-23
"278",-122.67155,38.283548,2022-12-23
"279",-122.69513,38.214102,2022-12-26
"280",-122.746056,38.224353,2022-12-27
"281",-122.733106,38.397034,2022-12-27
"282",-122.720484,38.265748,2022-12-29
"283",-122.642918,38.383102,2022-12-29
"284",-120.12224,34.406898,2022-12-29
"285",-122.785354,38.232598,2022-12-30
"286",-122.710183,38.398889,2022-12-30
"287",-122.405395,37.487101,2022-12-27
"288",-121.86894,36.987425,2021-01-02
"289",-120.074392,34.561894,2021-01-25
"290",-115.88691,31.01105,2021-01-21
"291",-115.716128,30.988588,2021-01-26
"292",-115.962493,31.114812,2021-01-21
"293",-115.807453,31.14098,2021-02-01
"294",-122.779252,38.283081,2021-02-01
"295",-122.766442,38.307623,2021-02-01
"296",-122.240163,37.15318,2021-02-01
"297",-122.723427,38.33801,2021-02-01
"298",-122.790632,38.256856,2021-02-01
"299",-122.799069,37.837436,2021-02-07
"300",-119.411081,34.511009,2021-02-12
"301",-122.47063,37.676988,2021-02-21
"302",-122.842075,38.003849,2021-02-22
"303",-122.829581,38.005749,2021-02-22
"304",-121.797466,36.656697,2021-02-24
"305",-122.245158,37.272476,2021-02-05
"306",-122.498028,37.55378,2021-02-22
"307",-119.307664,34.404651,2021-03-02
"308",-121.666981,36.885317,2021-03-06
"309",-122.479949,37.920029,2021-03-06
"310",-120.168779,34.42265,2021-03-07
"311",-121.52433,37.690976,2021-03-09
"312",-120.688137,35.251872,2021-03-12
"313",-122.453483,37.448296,2021-03-14
"314",-122.540144,37.493321,2021-03-16
"315",-120.04121,34.576019,2021-03-17
"316",-121.429784,37.783987,2021-03-18
"317",-115.756931,30.990041,2021-03-21
"318",-121.88656,37.74694,2021-03-25
"319",-122.575012,37.830185,2021-03-26
"320",-121.331932,37.164137,2021-03-26
"321",-119.375594,34.461135,2021-03-31
"322",-122.781758,37.920004,2021-03-30
"323",-122.150611,36.804715,2021-04-05
"324",-122.560957,37.404157,2021-04-05
"325",-121.191539,36.493619,2021-04-09
"326",-122.234406,38.189624,2021-04-10
"327",-121.512549,36.737264,2021-04-10
"328",-121.83526,37.413394,2021-04-24
"329",-121.046816,35.771045,2021-04-26
"330",-121.633189,37.283227,2021-04-28
"331",-122.455681,37.526019,2021-04-26
"332",-121.806869,37.477579,2021-04-24
"333",-122.467759,37.784186,2021-05-22
"334",-121.659793,36.897468,2021-05-05
"335",-121.704495,37.801076,2021-05-07
"336",-122.185505,36.943361,2021-05-08
"337",-122.434756,37.534564,2021-05-11
"338",-122.592353,37.490772,2021-05-13
"339",-120.773193,35.328495,2021-05-13
"340",-121.631751,36.928228,2021-05-07
"341",-122.526662,37.646018,2021-05-17
"342",-122.363929,37.260406,2021-05-18
"343",-122.2659,37.375313,2021-05-18
"344",-122.276123,37.287931,2021-05-18
"345",-121.654666,37.766869,2021-05-23
"346",-121.660739,37.56671,2021-05-22
"347",-121.776686,37.41316,2021-05-22
"348",-121.727581,37.498249,2021-05-22
"349",-122.475582,38.254277,2021-05-24
"350",-122.583536,38.236747,2021-06-05
"351",-122.952505,38.13153,2021-06-05
"352",-121.632752,37.067477,2021-06-10
"353",-121.870098,37.988803,2021-06-15
"354",-122.669643,38.223535,2021-06-18
"355",-122.474441,37.465608,2021-06-19
"356",-115.48433,30.830517,2021-06-15
"357",-122.916239,38.170522,2021-06-20
"358",-115.535284,30.852385,2021-06-15
"359",-115.506656,30.846106,2021-06-16
"360",-121.769117,36.943578,2021-06-22
"361",-121.001929,36.736542,2021-06-25
"362",-122.48465,37.959616,2021-07-02
"363",-122.46841,37.525965,2021-07-03
"364",-122.185271,36.894835,2021-07-07
"365",-120.151243,34.551552,2021-07-09
"366",-122.071018,36.839515,2021-07-07
"367",-122.492235,37.492487,2021-07-18
"368",-122.41867,37.545212,2021-07-18
"369",-122.518365,37.433289,2021-07-17
"370",-122.161382,36.883497,2021-07-20
"371",-122.387325,37.388985,2021-07-23
"372",-122.093345,36.842637,2021-07-06
"373",-122.082918,36.944904,2021-07-06
"374",-123.091041,38.236654,2021-08-07
"375",-122.405091,37.436537,2021-08-15
"376",-122.516121,37.445344,2021-08-15
"377",-122.587409,37.934095,2021-08-17
"378",-122.539328,37.709205,2021-08-22
"379",-121.864207,36.376235,2021-08-23
"380",-121.136048,36.588198,2021-08-23
"381",-121.112147,36.464043,2021-09-26
"382",-121.998031,36.464253,2021-09-01
"383",-121.987593,36.569308,2021-09-02
"384",-121.900311,36.422919,2021-09-02
"385",-117.275969,33.481453,2021-09-02
"386",-122.572139,37.975771,2021-09-05
"387",-123.560229,38.783241,2021-09-12
"388",-123.419717,38.633297,2021-09-12
"389",-123.567991,38.61388,2021-09-12
"390",-123.570844,38.662941,2021-09-12
"391",-123.441303,38.74601,2021-09-12
"392",-122.576665,38.284442,2021-09-14
"393",-122.492774,38.258212,2021-09-14
"394",-120.119387,34.482018,2021-09-26
"395",-120.184994,34.442703,2021-09-26
"396",-120.104362,34.587938,2021-09-26
"397",-121.063321,36.574839,2021-09-25
"398",-115.965556,31.0847,2021-10-28
"399",-121.897333,36.498881,2021-10-02
"400",-122.779195,37.846612,2021-10-01
"401",-120.054224,34.491807,2021-10-06
"402",-122.717063,38.067707,2021-10-12
"403",-122.627323,38.009258,2021-10-21
"404",-121.752723,36.86392,2021-10-23
"405",-121.709442,36.937343,2021-10-23
"406",-120.096042,34.484527,2021-10-27
"407",-121.866541,36.442232,2021-11-04
"408",-122.457489,37.454828,2021-11-05
"409",-122.471316,37.461193,2021-11-05
"410",-122.503225,37.897283,2021-11-09
"411",-122.633017,38.239772,2021-11-08
"412",-122.786426,37.821721,2021-11-14
"413",-120.743854,35.271376,2021-11-15
"414",-120.758981,34.728699,2021-11-15
"415",-122.697432,38.215554,2021-11-15
"416",-118.950909,34.18857,2021-11-15
"417",-115.77005,30.995513,2021-11-08
"418",-115.778729,30.918414,2021-11-08
"419",-121.141333,36.441474,2021-11-03
"420",-121.116539,36.55496,2021-12-10
"421",-115.647987,30.916622,2021-12-07
"422",-122.670099,38.304767,2021-12-22
"423",-122.687783,38.304098,2021-12-22
"424",-121.904595,37.544587,2021-12-17
"425",-120.107,34.406734,2020-01-03
"426",-122.727587,38.22572,2020-01-24
"427",-122.642702,38.37389,2020-01-25
"428",-122.407647,37.967884,2020-01-18
"429",-122.084781,37.99708,2020-02-01
"430",-121.183812,36.521182,2020-02-02
"431",-115.697896,30.834393,2020-02-06
"432",-122.37249,37.342863,2020-02-08
"433",-121.153497,36.706802,2020-02-15
"434",-122.277681,37.326881,2020-02-08
"435",-122.569808,37.599892,2020-02-15
